Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,06 Aug 2020,Final Dividend - Rs. - 5.0000,-,08 Aug 2020,21 Aug 2020,-,-,-
516030,YASHPAKKA,Yash Pakka Ltd-$,06 Aug 2020,Final Dividend - Rs. - 1.0000,07 Aug 2020,-,-,-,-,-
532456,COMPUAGE,COMPUAGE INFOCOM LTD.,07 Aug 2020,Dividend - Rs. - 0.2000,-,11 Aug 2020,18 Aug 2020,-,-,-
532504,NAVINFLUOR,Navin Fluorine International Limited-$,07 Aug 2020,Final Dividend - Rs. - 3.0000,-,11 Aug 2020,14 Aug 2020,-,-,-
534076,ORIENTREF,ORIENT REFRACTORIES LTD.,07 Aug 2020,Final Dividend - Rs. - 2.5000,-,11 Aug 2020,18 Aug 2020,-,-,-
539523,ALKEM,Alkem Laboratories Ltd,10 Aug 2020,Final Dividend - Rs. - 3.0000,11 Aug 2020,-,-,-,-,-
523716,ASHIANA,ASHIANA HOUSING LTD.-$,10 Aug 2020,Final Dividend - Rs. - 0.3000,-,12 Aug 2020,18 Aug 2020,-,-,-
517174,HONAUT,HONEYWELL AUTOMATION INDIA LTD.,10 Aug 2020,Final Dividend - Rs. - 75.0000,11 Aug 2020,-,-,-,-,-
504212,UNIVCABLES,UNIVERSAL CABLES LTD.,10 Aug 2020,Final Dividend - Rs. - 2.0000,-,12 Aug 2020,18 Aug 2020,-,-,-
517015,VINDHYATEL,VINDHYA TELELINKS LTD.,10 Aug 2020,Dividend - Rs. - 10.0000,-,12 Aug 2020,18 Aug 2020,-,-,-
500215,ATFL,AGRO TECH FOODS LTD.,11 Aug 2020,Final Dividend - Rs. - 3.0000,-,13 Aug 2020,20 Aug 2020,-,-,-
506579,ORIENTCQ,ORIENTAL CARBON & CHEMICALS LTD.-$,11 Aug 2020,Final Dividend - Rs. - 6.0000,-,13 Aug 2020,18 Aug 2020,-,-,-
532460,PONNIERODE,PONNI SUGARS (ERODE) LTD.,11 Aug 2020,Dividend - Rs. - 4.0000,-,13 Aug 2020,19 Aug 2020,-,-,-
505010,AUTOAXLES,AUTOMOTIVE AXLES LTD.,12 Aug 2020,Final Dividend - Rs. - 0.8000,-,14 Aug 2020,19 Aug 2020,-,-,-
524654,NATCAPSUQ,NATURAL CAPSULES LTD.,12 Aug 2020,Dividend - Rs. - 0.6000,-,14 Aug 2020,21 Aug 2020,-,-,-
518091,APCL,ANJANI PORTLAND CEMENT LTD.-$,13 Aug 2020,Dividend - Rs. - 5.0000,-,15 Aug 2020,21 Aug 2020,-,-,-
507944,BAJAJST,BAJAJ STEEL INDUSTRIES LTD.,13 Aug 2020,Final Dividend - Rs. - 2.0000,-,15 Aug 2020,22 Aug 2020,-,-,-
532400,BSOFT,Birlasoft Ltd,13 Aug 2020,Final Dividend - Rs. - 1.0000,14 Aug 2020,-,-,-,-,-
533761,GPTINFRA,GPT INFRAPROJECTS LTD.,13 Aug 2020,Final Dividend - Rs. - 1.5000,-,15 Aug 2020,21 Aug 2020,-,-,-
532500,MARUTI,MARUTI SUZUKI INDIA LTD.,13 Aug 2020,Final Dividend - Rs. - 60.0000,-,15 Aug 2020,26 Aug 2020,-,-,-
517506,TTKPRESTIG,TTK PRESTIGE LTD.,13 Aug 2020,Dividend - Rs. - 20.0000,-,15 Aug 2020,15 Aug 2020,-,-,-
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,14 Aug 2020,Dividend - Rs. - 3.0000,-,18 Aug 2020,25 Aug 2020,-,-,-
506390,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.,17 Aug 2020,Final Dividend - Rs. - 11.0000,-,19 Aug 2020,20 Aug 2020,-,-,-
500480,CUMMINSIND,CUMMINS INDIA LTD.,17 Aug 2020,Final Dividend - Rs. - 7.0000,18 Aug 2020,-,-,-,-,-
511196,CANFINHOME,CAN FIN HOMES LTD.,18 Aug 2020,Dividend - Rs. - 2.0000,-,20 Aug 2020,26 Aug 2020,-,-,-
532478,UBL,UNITED BREWERIES LTD.-$,18 Aug 2020,Final Dividend - Rs. - 2.5000,-,20 Aug 2020,26 Aug 2020,-,-,-
523411,ADCINDIA,ADC India Communications Limited-$,19 Aug 2020,Dividend - Rs. - 2.0000,-,21 Aug 2020,27 Aug 2020,-,-,-
524828,BDH,BDH INDUSTRIES LTD.,19 Aug 2020,Final Dividend - Rs. - 2.5000,-,21 Aug 2020,27 Aug 2020,-,-,-
508906,EVERESTIND,EVEREST INDUSTRIES LTD.,19 Aug 2020,Final Dividend - Rs. - 1.0000,20 Aug 2020,-,-,-,-,-
505255,GMM,GMM PFAUDLER LTD.,19 Aug 2020,Final Dividend - Rs. - 2.0000,-,21 Aug 2020,27 Aug 2020,-,-,-
519552,HERITGFOOD,Heritage Foods Limited,19 Aug 2020,Dividend - Rs. - 2.5000,-,21 Aug 2020,28 Aug 2020,-,-,-
532796,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,19 Aug 2020,Final Dividend - Rs. - 1.0000,-,21 Aug 2020,28 Aug 2020,-,-,-
524715,SUNPHARMA*,SUN PHARMACEUTICAL INDUSTRIES LTD.,19 Aug 2020,Final Dividend - Rs. - 1.0000,-,21 Aug 2020,27 Aug 2020,-,-,-
500710,AKZOINDIA,Akzo Nobel India Limited,20 Aug 2020,Dividend - Rs. - 14.0000,-,22 Aug 2020,28 Aug 2020,-,-,-
531082,ALANKIT,Alankit Ltd,20 Aug 2020,Final Dividend - Rs. - 0.2000,-,23 Aug 2020,29 Aug 2020,-,-,-
500136,ESTER,ESTER INDUSTRIES LTD.,20 Aug 2020,Dividend - Rs. - 2.5000,-,22 Aug 2020,28 Aug 2020,-,-,-
517206,LUMAXIND,LUMAX INDUSTRIES LTD.,20 Aug 2020,Final Dividend - Rs. - 6.0000,-,22 Aug 2020,28 Aug 2020,-,-,-
526479,SKYIND,SKY INDUSTRIES LTD.-$,20 Aug 2020,Final Dividend - Rs. - 0.5000,-,22 Aug 2020,28 Aug 2020,-,-,-
506105,STANROS,STANROSE MAFATLAL INVESTMENTS AND FINANCE LTD.,20 Aug 2020,Dividend - Rs. - 6.0000,-,23 Aug 2020,29 Aug 2020,-,-,-
590005,TIDEWATER,TIDE WATER OIL (INDIA) LTD.,20 Aug 2020,Final Dividend - Rs. - 140.0000,-,22 Aug 2020,28 Aug 2020,-,-,-
506690,UNICHEMLAB,UNICHEM LABORATORIES LTD.,20 Aug 2020,Dividend - Rs. - 4.0000,-,24 Aug 2020,29 Aug 2020,-,-,-
524818,DYNAMIND,DYNAMIC INDUSTRIES LTD.-$,21 Aug 2020,Final Dividend - Rs. - 1.5000,-,25 Aug 2020,31 Aug 2020,-,-,-
504741,INDIANHUME,INDIAN HUME PIPE CO.LTD.,21 Aug 2020,Dividend - Rs. - 2.0000,-,25 Aug 2020,04 Sep 2020,-,-,-
533343,LOVABLE,LOVABLE LINGERIE LTD.,21 Aug 2020,Final Dividend - Rs. - 0.5000,-,25 Aug 2020,28 Aug 2020,-,-,-
534091,MCX,MULTI COMMODITY EXCHANGE OF INDIA LTD.,21 Aug 2020,Final Dividend - Rs. - 30.0000,-,25 Aug 2020,31 Aug 2020,-,-,-
541403,DOLLAR,Dollar Industries Ltd,24 Aug 2020,Dividend - Rs. - 1.7000,-,26 Aug 2020,01 Sep 2020,-,-,-
542905,SHIL,Somany Home Innovation Ltd,24 Aug 2020,Dividend - Rs. - 0.1500,-,26 Aug 2020,03 Sep 2020,-,-,-
500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,25 Aug 2020,Dividend - Rs. - 10.0000,-,27 Aug 2020,02 Sep 2020,-,-,-
524051,POLYPLEX*,POLYPLEX CORPORATION LTD.,25 Aug 2020,Dividend - Rs. - 6.0000,-,27 Aug 2020,31 Aug 2020,-,-,-
526797,GREENPLY,GREENPLY INDUSTRIES LTD.,27 Aug 2020,Final Dividend - Rs. - 0.4000,-,31 Aug 2020,03 Sep 2020,-,-,-
520043,MUNJALSHOW,MUNJAL SHOWA LTD.,27 Aug 2020,Final Dividend - Rs. - 4.5000,-,29 Aug 2020,10 Sep 2020,-,-,-
541206,OBCL,Orissa Bengal Carrier Ltd,27 Aug 2020,Dividend - Rs. - 0.5000,28 Aug 2020,-,-,-,-,-
500488,ABBOTINDIA,ABBOTT INDIA LTD.,28 Aug 2020,Final Dividend - Rs. - 107.0000,-,01 Sep 2020,07 Sep 2020,-,-,-
500488,ABBOTINDIA,ABBOTT INDIA LTD.,28 Aug 2020,Special Dividend - Rs. - 143.0000,-,01 Sep 2020,07 Sep 2020,-,-,-
505750,JOSTS,JOST'S ENGINEERING CO.LTD.,28 Aug 2020,Final Dividend - Rs. - 3.0000,-,01 Sep 2020,04 Sep 2020,-,-,-
516108,STHINPA,SOUTH INDIA PAPER MILLS LTD.,28 Aug 2020,Final Dividend - Rs. - 1.5000,-,01 Sep 2020,26 Sep 2020,-,-,-
500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,31 Aug 2020,Final Dividend - Rs. - 0.3000,-,02 Sep 2020,08 Sep 2020,-,-,-
540393,SMLT,Sarthak Metals Ltd,31 Aug 2020,Final Dividend - Rs. - 0.5000,-,02 Sep 2020,09 Sep 2020,-,-,-
